,original_title,overview,region_final,release_date,genre_final,cast_final,director
571,Inglourious Basterds,"In Nazi-occupied France during World War II, a group of Jewish-American soldiers known as ""The Basterds"" are chosen specifically to spread fear throughout the Third Reich by scalping and brutally killing Nazis. The Basterds, lead by Lt. Aldo Raine soon cross paths with a French-Jewish teenage girl who runs a movie theater in Paris which is targeted by the soldiers.",Germany,2009-08-18,Drama,"['Lieutenant Aldo ""The Apache"" Raine', 'Shosanna Dreyfus / Emmanuelle Mimieux', 'SS Colonel Hans Landa', 'Sergeant Donny ""The Bear Jew"" Donowitz', 'Lieutenant Archie Hicox', 'Bridget von Hammersmark', 'Private First Class Fredrick Zoller', 'Sergeant Hugo Stiglitz', 'Corporal Wilhelm Wicki', 'Marcel', 'Private First Class Smithson ""The Little Man"" Utivich', 'Private First Class Omar Ulmer', 'Major Dieter Hellstrom', 'Perrier LaPadite', 'Joseph Goebbels', 'Adolf Hitler', 'General Ed Fenech', 'Francesca Mondino', 'Charlotte LaPadite', 'Sergeant Werner Rachtman', 'Staff Sergeant Wilhelm / Pola Negri', 'Winston Churchill', 'Private First Class Hirschberg', 'Private First Class Andy Kagan', 'Private First Class Michael Zimmerman', 'German Soldier / Winnetou', 'German Female Soldier / Beethoven', 'German Soldier / Edgar Wallace', 'German Soldier / Mata Hari', 'Proprietor Eric', 'Mathilda', 'Julie LaPadite', 'Suzanne LaPadite', 'CPT. Wolfgang', 'Babette', 'Herrman #1', 'Herrman #3', 'General Schonherr', 'Old French Veterinarian', ""Hellstrom's Driver / Nazi Usher #1"", 'Gaspar', 'Private Butz / Walter Frazer', 'PFC. Simon Sakowitz', 'Emil Jannings', 'Jakob Dreyfus', 'Miriam Dreyfus', 'Bob Dreyfus', 'Amos Dreyfus', 'German Company SGT.', ""Maxim's Waiter"", 'General Frank', 'Motorcycle Rider #1', 'Motorcycle Rider #2', 'American Colonel', 'Himself', 'Kliest Voice (voice)', 'Narrator (uncredited / voice)', 'Usher #2 (uncredited)', 'German Movie Star (uncredited)', 'German Official (voice) (uncredited)', 'German Soldier (uncredited)', 'German Civilian (uncredited)', 'Military Attaché (uncredited)', 'SS Major (uncredited)', 'OSS Commander Who Agrees to Deal (voice) (uncredited)', 'Nazi Theatre Attendee (uncredited)', 'Gestapo Major (uncredited)', ""First Scalped Nazi / American Soldier in 'Pride of Nation' (uncredited)"", 'French Waiter (uncredited)', 'German Female Soldier (uncredited)', 'Cinema Guest (uncredited)']",
572,Hook,"The boy who wasn't supposed to grow up—Peter Pan—did just that, becoming a soulless corporate lawyer whose workaholism could cost him his wife and kids. But a trip to see Granny Wendy in London, where the vengeful Capt. Hook kidnaps Peter's kids and forces Peter to return to Neverland, could lead to a chance at redemption, in this family-oriented fantasy from director Steven Spielberg.",United States of America,1991-12-11,Adventure,"['Peter Banning', 'Captain James S. Hook', 'Tinkerbell', 'Smee', 'Granny Wendy', 'Moira Banning', ""Jack 'Jackie' Banning"", 'Maggie Banning', 'Tootles', 'Pockets', 'Young Wendy', 'Inspector Good', 'Gutless', 'Mermaid', 'Ace', ""Don't Ask"", 'Young Peter Pan', '5-Year-Old Peter Pan', ""Peter's Mother"", 'LittleLeague Player', 'Brad', 'Dr. Fields', 'Jim', 'Tickles', 'Noodler', 'Bill Jukes', 'Woman Kissing on Bridge (uncredited)', 'Man Kissing on Bridge (uncredited)', 'Shoe-Stealing Pirate (uncredited)', 'Rufio']",
573,Die Hard 2,"John McClane is an off-duty cop gripped with a feeling of déjà vu when on a snowy Christmas Eve in the nation's capital, terrorists seize a major international airport, holding thousands of holiday travelers hostage. Renegade military commandos led by a murderous rogue officer plot to rescue a drug lord from justice and are prepared for every contingency except one: McClane's smart-mouthed heroics.",United States of America,1990-07-02,Action,"['John McClane', 'Holly McClane', 'Richard Thornburg', 'Sgt. Al Powell', 'General Ramon Esperanza', 'Colonel Stuart', 'Major Grant', 'Captain Carmine Lorenzo', 'Leslie Barnes', 'Trudeau', 'Marvin', ""Samantha 'Sam' Coleman"", 'Garber', 'Baker', 'Thompson', ""O'Reilly"", 'Sheldon', 'Burke', 'Kahn', 'Sgt. Oswald Cochrane', 'Miller', 'Shockley', 'Mulkey', 'Blue Light Team', 'Blue Light Team', 'Lt.Sherman / Blue light Team', 'Blue Light Team', 'Blue Light Team', 'Blue Light Team', 'Blue Light Team', 'Blue Light Team', 'Cpl. Telford', 'Sergeant', 'Second Sergeant', 'Soldier', 'Pilot (Northeast Plane)', 'Co-Pilot (Northeast Plane)', 'Navigator (Northeast Plane)', 'Stewardess - Northeast Plane', 'Stewardess (Northeast Plane)', 'Older Woman (Northeast Plane)', 'Pilot (Windsor Plane)', 'Rollins', 'Victor (WZDC)']",
574,S.W.A.T.,"Hondo Harrelson recruits Jim Street to join an elite unit of the Los Angeles Police Department. Together they seek out more members, including tough Deke Kay and single mom Chris Sanchez. The team's first big assignment is to escort crime boss Alex Montel to prison. It seems routine, but when Montel offers a huge reward to anyone who can break him free, criminals of various stripes step up for the prize.",United States of America,2003-08-08,Action,"[""Sgt. Dan 'Hondo' Harrelson"", 'Jim Street', 'Chris Sanchez', ""Deacon 'Deke' Kay"", 'T.J. McCabe', 'Brian Gamble', 'Michael Boxer', 'Alex Montel', 'Lt. Greg Velasquez', 'GQ', 'Capt. Thomas Fuller', 'Travis', 'Gus', 'Sgt. Howard', 'Agent Hauser', 'Neighbor in Alley']",
575,Vanilla Sky,"David Aames (Tom Cruise) has it all: wealth, good looks and gorgeous women on his arm. But just as he begins falling for the warmhearted Sofia (Penelope Cruz), his face is horribly disfigured in a car accident. That's just the beginning of his troubles as the lines between illusion and reality, between life and death, are blurred.",United States of America,2001-12-10,Drama,"['David Aames', 'Sofia Serrano', 'Julie Gianni', 'Dr. Curtis McCabe', 'Brian Shelby', 'Edmund Ventura', 'Thomas Tipp', 'Rebecca Dearborn', 'Dr. Pomeranz', 'Libby', 'Aaron', 'Emma', 'Colleen', 'Peter Brown']",
576,Lady in the Water,"Apartment building superintendent Cleveland Heep rescues what he thinks is a young woman from the pool he maintains. When he discovers that she is actually a character from a bedtime story who is trying to make the journey back to her home, he works with his tenants to protect his new friend from the creatures that are determined to keep her in our world.",United States of America,2006-07-21,Drama,"['Cleveland Heep', 'Mr. Dury', 'Harry Farber', 'Anna Ran', 'Young-Soon Choi', 'Vick Ran', 'Reggie', 'Mr. Leeds', 'Mrs. Bell', 'Joey Dury', 'Long Haired Smoker', 'Goatee Smoker', 'Emaciated Smoker', 'One-Eyebrow Smoker', 'Story']",
577,AVP: Alien vs. Predator,"When scientists discover something in the Arctic that appears to be a buried Pyramid, they send a research team out to investigate. Little do they know that they are about to step into a hunting ground where Aliens are grown as sport for the Predator race.",Canada,2004-08-12,Adventure,"['Alexa Woods', 'Sebastian de Rosa', 'Graeme Miller', 'Maxwell Stafford', 'Mark Verheiden', 'Joe Connors', 'Adele Rousseau', 'Rusten Quinn', 'Thomas Parks', 'Charles Bishop Weyland', 'Klaus', 'Sven', 'Supervisor', 'Grid', 'Scar', 'Stone', 'Bass', 'Mikkel', 'Boris', 'Karl', 'Sacrificial Maiden', 'Technician', 'Juan Ramirez', 'High Priest (uncredited)', 'Spaceship Crew (uncredited)']",
578,Alvin and the Chipmunks: The Squeakquel,"Pop sensations Alvin, Simon and Theodore end up in the care of Dave Seville's twenty-something nephew Toby. The boys must put aside music super stardom to return to school, and are tasked with saving the school's music program by winning the $25,000 prize in a battle of the bands. But the Chipmunks unexpectedly meet their match in three singing chipmunks known as The Chipettes - Brittany, Eleanor and Jeanette. Romantic and musical sparks are ignited when the Chipmunks and Chipettes square off.",United States of America,2009-12-21,Comedy,"['Toby', 'Ian', 'Dave', 'Alvin (voice)', 'Simon (voice)', 'Theodore (voice)', 'Eleanor (voice)', 'Jeanette (voice)', 'Brittany (voice)', 'Dr. Rubin', 'Julie', 'Aunt Jackie', 'Ryan', 'Xander', 'Becca', 'Valentina', 'Cheerleader (uncredited)']",
579,We Were Soldiers,The story of the first major battle of the American phase of the Vietnam War and the soldiers on both sides that fought it.,Germany,2002-03-01,Action,"['Lt. Col. Hal Moore', ""Maj. Bruce 'Snake' Crandall"", 'Julie Moore', 'Sgt. Maj. Basil Plumley', '2nd Lt. Jack Geoghegan', 'Barbara Geoghegan', 'Joe Galloway', 'Capt. Tom Metsker', '2nd Lt. Henry Herrick', 'Capt. Tony Nadal', '1st Lt. Charlie Hastings', 'Sp4 Galen Bungum', 'Sp4 Robert Ouellette', 'Capt. Matt Dillon', 'Capt. Robert Edwards', 'Sp4 Russell Adams', ""Capt. Ed 'Too Tall' Freeman"", 'Sp4 Bill Beck', 'Lt. Col. Nguyen Huu An', 'Sgt. Ernie Savage', 'Pfc. Jimmy Nakayama', 'Cecile Moore', 'Catherine Metsker', 'Alma Givens', 'Maj. Gen. Henry Kinnard', 'Sfc. Carl Palmer', ""Sp5 Charlie 'Doc' Lose"", ""Capt. Robert 'Doc' Carrera"", 'Col. Tim Brown', 'Diplomatic Spook', 'Army Intelligence Officer', 'General in Hallway', 'Sfc. Bob White, Mortar Sergeant', 'Medevac CO', 'Cab Driver', 'Daughter Julie Moore', 'Steve Moore', 'David Moore', 'Mr. Nik', 'NVA Officer', 'Reporter', ""Edwards' Radio Operator"", 'Lt. Cochran (uncredited)', 'Sec. of Defense Robert McNamara (uncredited)', 'NVA Officer (uncredited)', 'Jump Coordinator (uncredited)', 'French Officer (uncredited)', 'Army Wife (uncredited)', 'Private Davey (uncredited)', 'Sergeant (uncredited)', 'Pvt. Soprano (uncredited)', 'Young NVA Lieutenant (uncredited)', 'Lt. Col. List (uncredited)', 'White Private (uncredited)']",
580,Olympus Has Fallen,"When the White House (Secret Service Code: ""Olympus"") is captured by a terrorist mastermind and the President is kidnapped, disgraced former Presidential guard Mike Banning finds himself trapped within the building. As the national security team scrambles to respond, they are forced to rely on Banning's inside knowledge to help retake the White House, save the President and avert an even bigger disaster.",United States of America,2013-03-20,Action,"['Mike Banning', 'President Benjamin Asher', 'Lynne Jacobs', 'Speaker Trumbull', 'Leah', 'Kang', 'Forbes', 'Connor', 'Jones', 'Mary Jane', 'Secretary of Defense Ruth McMillan', 'Roma', 'Vice President Charlie Rodriguez', 'General Edward Clegg', 'Margaret Asher', 'Dr. Guildes', 'Davis', 'Yu', 'Lim', 'Lee Tae-Woo', 'Korean Sniper', 'Ray Monroe']",
581,Star Trek: Insurrection,"When an alien race and factions within Starfleet attempt to take over a planet that has ""regenerative"" properties, it falls upon Captain Picard and the crew of the Enterprise to defend the planet's people as well as the very ideals upon which the Federation itself was founded.",United States of America,1998-12-10,Science Fiction,"['Captain Jean-Luc Picard', 'Commander William T. Riker', 'Lt. Commander Data', 'Lt. Commander Geordi La Forge', 'Lt. Commander Worf', 'Doctor Beverly Crusher', 'Counselor Deanna Troi', 'Gallatin', ""Ad'har Ru'afo"", 'Vice-Adm. Dougherty', 'Anij']",
582,Battle: Los Angeles,"The Earth is attacked by unknown forces. As people everywhere watch the world's great cities fall, Los Angeles becomes the last stand for mankind in a battle no one expected. It's up to a Marine staff sergeant and his new platoon to draw a line in the sand as they take on an enemy unlike any they've ever encountered before.",United States of America,2011-03-08,Action,"['Michael Nantz', 'William Martinez', 'Cpl. Lee Imlay', 'Cpl. Jason Lockett', 'Peter Kerns', 'Cpl. Nick Stavrou', 'Kevin Harris', 'Steven Mottola', 'Michelle', 'Pfc. Shaun Lenihan', 'Corpsman Jibril Adukwu', 'Hector Rincon', 'Joe Rincon', 'Elena Santos', 'Kirsten', 'LCpl. Richard Guerrero', 'LCpl. Corey Simmons', 'Cpl. Scott Grayston', 'Cpl. Richard Oswald', 'Amy', '1st Sgt. John Roy', 'Company Captain', 'Lt. Col. K.N. Ritchie', 'Amanda', 'Cherise', 'Jessy', 'Psychiatrist', 'Reporter on TV', 'Reporter on TV', 'Chris', 'Flower Shop Employee', 'Command Hangar Marine', ""Adukwu's Sister"", 'Reporter on Beach', 'Sgt. Major', 'Beach Goer (uncredited)', 'Emergency Medical Tech. (uncredited)', 'Beach Girl 1 (uncredited)', 'Marine (uncredited)', 'Firefighter (uncredited)', 'Marine (uncredited)', 'Marine (uncredited)', 'Dead Civilian (uncredited)', 'Marine (uncredited)', 'Dead Civilian (uncredited)', 'Citizen / Dead Citizen (uncredited)', 'Marine (uncredited)', 'U.S. Marine (uncredited)', 'LAPD Officer Boggs (uncredited)', 'Steve Johinson (uncredited)', 'Marine Crew Chief (uncredited)', 'Doctor Running Away (uncredited)', 'Crew Chief (uncredited)', 'Shelly (uncredited)', 'Civilian (uncredited)', 'Civilian (uncredited)', 'Gary (uncredited)', 'Extra (uncredited)', 'Beach Dude (uncredited)', 'Sergeant Major (uncredited)', 'Dead Civilian (uncredited)', 'Kathy Martinez']",
583,Big Fish,"Throughout his life Edward Bloom has always been a man of big appetites, enormous passions and tall tales. In his later years, he remains a huge mystery to his son, William. Now, to get to know the real man, Will begins piecing together a true picture of his father from flashbacks of his amazing adventures.",United States of America,2003-12-25,Adventure,"['Younger Ed Bloom', 'Older Ed Bloom', 'Will Bloom', 'Older Sandra Bloom', 'Younger & Older Jenny/The Witch', 'Younger Sandra Bloom', 'Josephine', 'Older Dr. Bennett', 'Karl the Giant', 'Don Price - Age 18-22', 'Mildred', 'Beamen', 'Jing', 'Ping', 'Norther Winslow', 'Amos Calloway', 'Mr. Soggybottom', 'Ed Bloom - Age 10', 'Jenny - Age 8', ""Ed's Father"", 'Will Bloom - Age 6-8', 'Ruthie - Age 8', ""Ed's Mother"", 'Zacky Price - Age 10', 'Don Price - Age 12', 'Pretty Girl', 'Mayor', 'Sharecropper', 'Banjo man', 'Shotgun Toter', 'Some Farmer', 'Shephard', 'Townsperson', 'Townsperson', 'Cashier', 'Jump Leader', 'Teller Woman', 'Heavy Set Nurse', ""Will's son"", 'Econ Professor', 'Old Zacky', 'Spectre Citizen (uncredited)', 'Spectre Citizen (uncredited)']",
584,Wolf,Publisher Will Randall becomes a werewolf and has to fight to keep his job.,United States of America,1994-06-17,Fantasy,"['Will Randall', 'Raymond Alden', 'Stewart Swinton', 'Laura', 'Charlotte Randall', 'Detective Bridger', 'Mary', 'Roy', 'Dr. Vijay Alezais', 'Doctor', 'Maude', 'Detective Wade', 'George', 'Party Guest', 'Cop']",
585,War Horse,"Follows a young man named Albert and his horse, Joey, and how their bond is broken when Joey is sold to the cavalry and sent to the trenches of World War One. Despite being too young to enlist, Albert heads to France to save his friend.",United States of America,2011-12-25,Drama,"['Capt. James Nicholls', 'Maj. Jamie Stewart', 'Geordie Soldier', 'Rose Narracott', 'Albert Narracott', 'Lyons', 'Ted Narracott', 'Pvt. Günther Schröder', 'Friedrich', 'Sgt. Fry', 'Emilie', 'Andrew Easton', 'David Lyons', 'Brandt', 'Sgt. Sam Perkins', 'Sgt. Martin', 'Sgt. Maj. Singh', 'Maj. Tompkins', 'Lt.Waverley', 'Army Doctor', 'Soldier', 'German Officer at Farm', 'French Auctioneer', 'German Trench Soldier', 'Senior German Officer', 'German Officer', 'German Artillery Officer', 'German Artillery Soldier', 'German Officer on Bridge', 'Junior German Officer', 'Trench Captain', ""Narracott's Neighbor""]",
586,The Monuments Men,"Based on the true story of the greatest treasure hunt in history, The Monuments Men is an action drama focusing on seven over-the-hill, out-of-shape museum directors, artists, architects, curators, and art historians who went to the front lines of WWII to rescue the world’s artistic masterpieces from Nazi thieves and return them to their rightful owners.  With the art hidden behind enemy lines, how could these guys hope to succeed?",Germany,2014-01-24,War,"['James Granger', 'Claire Simone', 'Frank Stokes', 'Richard Campbell', 'Walter Garfield', 'Donald Jeffries', 'Jean Claude Clermont', 'Preston Savitz', 'Colonel Wegner', 'Sam Epstein', 'Viktor Stahl', 'Commander Elya', 'Colonel Langton', 'Captain Harpen', 'Rene Armand', 'Hermann Goering', 'Doctor', 'Dentist', 'Emile', 'Aachen Vicar', ""Stahl's Wife"", 'Major Piper']",
587,The Abyss,"A civilian oil rig crew is recruited to conduct a search and rescue effort when a nuclear submarine mysteriously sinks. One diver soon finds himself on a spectacular odyssey 25,000 feet below the ocean's surface where he confronts a mysterious force that has the power to change the world or destroy it.",United States of America,1989-08-09,Adventure,"[""Virgil 'Bud' Brigman"", 'Lindsey Brigman', 'Lieutenant Hiram Coffey', 'Catfish De Vries', ""Alan 'Hippy' Carnes"", 'Jammer Willis', ""Lisa 'One Night' Standing"", 'Bendix', ""Arliss 'Sonny' Dawson"", 'Lew Finler', 'Wilhite', 'Schoenick', 'Ensign Monk', 'Dwight Perry', 'Leland McBride', 'DeMarco', 'Captain', 'Barnes', 'Gerard Kirkhill', 'Dr. Berg']",
588,Wall Street: Money Never Sleeps,"As the global economy teeters on the brink of disaster, a young Wall Street trader partners with disgraced former Wall Street corporate raider Gordon Gekko on a two tiered mission: To alert the financial community to the coming doom, and to find out who was responsible for the death of the young trader's mentor.",United States of America,2010-09-02,Drama,"['Gordon Gekko', 'Jacob Moore', 'Bretton James', 'Winnie Gekko', 'Lewis Zabel', 'Sylvia Moore', 'Julie Steinhardt', 'Audrey', 'Jack Schwietzer', ""Jake's friend at club"", 'Bill Clark', 'Office Blogger', 'Natasha', 'Clark Wildman', 'Chuckie', 'Bud Fox', 'Churchill Schwartz Trader', 'Diego', 'VIP Party Patron', 'Reporter']",
589,Dracula Untold,"Vlad Tepes is a great hero, but when he learns the Sultan is preparing for battle and needs to form an army of 1,000 boys, including Vlad's son, he vows to find a way to protect his family. Vlad turns to dark forces in order to get the power to destroy his enemies and agrees to go from hero to monster as he's turned into the mythological vampire Dracula.",United States of America,2014-10-01,Horror,"['Dracula / Vlad Tepes', 'Mirena / Mina Murray', 'Mehmed II', 'Ingeras', 'Master Vampire', 'Dimitru', 'Cazan', 'Captain Petru', 'Simion', 'Shkelgim', 'Hamza Bey', 'General Omer', 'Bright Eyes', 'Acemi', 'Governess', 'The Village Elder', 'Brother Lucian', ""Mirena's Handmaiden"", 'Handmaiden (uncredited)', 'Nicolae', 'Andrei', 'General Ismail', 'Turkish General']",
590,The Siege,The secret US abduction of a suspected terrorist leads to a wave of terrorist attacks in New York that lead to the declaration of martial law.,United States of America,1998-11-06,Drama,"[""Anthony 'Hub' Hubbard"", 'Elise Kraft / Sharon Bridger', 'Major-General William Devereaux', 'Agent Frank Haddad', 'Samir Nazhde', 'FBI Agent Mike Johanssen', 'Fred Darius', 'Danny Sussman', 'FBI Agent Floyd Rose', 'Khalil Saleh', 'Officer Henderson', 'Fingerprint Expert', 'Sleeper terrorist', 'Prisoner']",
591,Stardust,"In a countryside town bordering on a magical land, a young man makes a promise to his beloved that he'll retrieve a fallen star by venturing into the magical realm. His journey takes him into a world beyond his wildest dreams and reveals his true identity.",Iceland,2007-08-09,Adventure,"['Yvaine', 'Tristan', 'Lamia', 'Cap. Shakespeare', 'Victoria', 'Ferdy the Fence', 'Primus', 'Septimus', 'Secundus', 'King of Stormhold', 'Empusa', 'Ditchwater Sal', 'Mormo', 'Una / Slave Girl', 'Wall Guardian', 'Dunstan Thorn', 'Skinny Pirate', 'Humphrey', 'Sextus', 'Tertius', 'Billy (Goat)', 'Narrator (voice)', 'Young Scientist', 'Victorian Academic', 'Young Dunstan', 'Grumpy Customer', 'Mr. Monday', 'Bishop', 'Quartus', 'Quintus', 'Soothsayer', 'Bernard', 'Lackey', 'Girl Bernard', ""Yvaine's Sister (voice)"", 'Old Pirate', 'Receptionist', 'New Bishop', 'Pirate', 'Pirate', 'Pirate', 'Pirate', 'Pirate', 'Pirate']",
